Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Black Square,1992,"80, 18, 9648",While investigating an ordinary homicide a group of detectives suddenly find a connection to a very first faces of USSR government.,ru,https://image.tmdb.org/t/p/w500/5VVk2o9W9ejbkN8I2dx6YCImUXS.jpg,2.4,Yuriy Moroz,Gorky Film Studios,
The Oak,1992,"35, 18","A description of Romania before Ceausescu's downfall, through the story of Nela. Daughter of a former colonel of the Securitate, the romanian political police. She refused to become as her sister, an agent of this Securitate, and lives with her father. After he died, she leaves Bucharest, and ends up in a little town, where she meets Mitica, a surgeon, another herself, laughing of everything.",ro,https://image.tmdb.org/t/p/w500/7eNbNHfsm7SvyFb8LTzsCQ5WiMK.jpg,6.6,Lucian Pintilie,"Parnasse Production, Les Films du Scarabée, MK2 Films",
The Child of Man,1992,"35, 18","A six-year-old boy plots to stop his ""sweetheart"", a grown-up woman in his pre-World War II Latvian village, from marrying.",lv,https://image.tmdb.org/t/p/w500/wcEYEupy7OwKCmZUyISn9nrgrKP.jpg,5.8,Janis Streics,Trīs,
City of Joy,1992,18,"Max Lowe is a Houston surgeon who has grown weary of the bureaucracy of American medicine. When he loses a patient on the operating table, Max impulsively decides to leave America and travel to India in the hope of finding himself. Not long after he arrives in Calcutta, Max is attacked by a group of thugs and left without money or a passport.",en,https://image.tmdb.org/t/p/w500/heq4BXSPGkhpLXEc20zkDlwQgUe.jpg,6.587,Roland Joffé,"TriStar Pictures, Allied Filmmakers, Pricel, Lightmotive",
Claire of the Moon,1992,"18, 10749","Claire of the Moon is set in the 1990s in the Pacific Northwest. Claire Jabrowski, a famous heterosexual author, decides to attend a retreat for all-female writers. Claire's rommate at the retreat is Dr. Noel Benedict, author of a book called The Naked Truth. The movie culminates in a sexual encounter between the two authors.",en,https://image.tmdb.org/t/p/w500/cCWa7UP4WA53xUSbQgN0A9d78uF.jpg,5.4,Nicole Conn,Demi-Monde Productions,
Class Act,1992,"35, 18","Duncan is a genius straight A student, Blade is juvenile delinquent. But because of a mix up with their school records, everyone thinks each is the other one. Now, Duncan kind of likes the attention from being thought of as a real bad dude, if only the school bully would stop trying to rough him up. And Blade definitely likes being thought of as important instead of as trouble.",en,https://image.tmdb.org/t/p/w500/nSbkFgHYK1OFKh0WGyLw8ItC50E.jpg,6.087,Randall Miller,Warner Bros. Pictures,
Claude,1992,"35, 18, 10749","A hapless, bad-luck prone loser meets a free-spirited Frenchwoman who inspires him to get his life back on track.",en,https://image.tmdb.org/t/p/w500/jtlmzRr7ZmnyNS2K7KTsh3cwcOr.jpg,9,Cindy Lou Johnson,,
Cobra silenciosa,1992,28,,es,https://image.tmdb.org/t/p/w500/v5LQBsGrDJID95xHlL08U4A7dI0.jpg,5,N/A,oxxo,
Color Adjustment,1992,99,"From Amos 'n' Andy to Nat King Cole, from Roots to The Cosby Show, black people have played many roles on primetime television. Brilliantly weaving clips from classic TV shows with commentary from TV producers, black actors and scholars, Marlon Riggs blends humor, insight, and thoughtful analysis to explore the evolution of black/white relations as reflected by America's favorite addiction.",en,https://image.tmdb.org/t/p/w500/kXPCFD0dkEdR16JGFDGXvlWfLR8.jpg,6.9,Marlon Riggs,,
Like Water for Chocolate,1992,"18, 10749","Tita is passionately in love with Pedro, but her controlling mother forbids her from marrying him. When Pedro marries her sister, Tita throws herself into her cooking and discovers she can transfer her emotions through the food she prepares, infecting all who eat it with her intense heartbreak.",es,https://image.tmdb.org/t/p/w500/itwUdMqLmPfhtGJ44hiDxkqZhiq.jpg,7.247,Alfonso Arau,"Aviacsa, Cinevista",
Compassion in Exile: The Story of the 14th Dalai Lama,1993,99,"A portrait of His Holiness, the 14th Dalai Lama, which includes historical footage of China's repression of Tibetan Buddhism in 1959.",en,https://image.tmdb.org/t/p/w500/ogseljS4xylcqB6t44YLFLOhuHT.jpg,0,Mickey Lemle,,
Barjo,1992,18,"The narrator, ""Barjo"" (nutcase, crap artist), is an obsessive simpleton, given to filling his notebook with verbatim dialog, observed trivia, and oddball speculation on human behavior and the end of the world. When his house burns, he moves in with his twin sister, Fanfan -- an impulsive, quixotic egoist -- and her husband, Charles, the Aluminum King. Charles becomes the focus of the film, as his wife and brother-in-law bewilder him.",fr,https://image.tmdb.org/t/p/w500/r2zJ6FqrFuXAtbbpKKGJubPIIfr.jpg,5,Jérôme Boivin,"Alicéléo, Rhone-Alps Films, France 3 Cinéma",
Confessions of a Suburban Girl,1992,99,"This autobiographical documentary takes its place alongside similar efforts by film directors John Boorman and Nagisa Oshima, all of them commissioned by BBC Scotland. Key revelations take place while she and some of her old girl-pals hang around in one of their old bedrooms, daring one another to tell the truth about all sorts of events known to one another. She confesses to having been an unbearably good girl given to idolizing the ""bad"" girls in her neighborhood and says that part of the reason she became a filmmaker was in order to get others to act out her darker fantasies. In addition to these and similar reminiscences and some black-and-white re-creations of the past, the film includes clips from some of the director's better-known films, clips which illustrate some of her teen fantasies.",en,https://image.tmdb.org/t/p/w500/mhrSPOrFq1mhrKgDjmDOeEOpNuA.jpg,0,Susan Seidelman,,
Confortorio,1992,18,,it,https://image.tmdb.org/t/p/w500/hBQlynUAP6P3xGJ9ZhjDyKwEL5w.jpg,6.5,Paolo Benvenuti,Arsenali Medicei,
Consenting Adults,1992,"53, 18","Richard and Priscilla Parker are an ordinary suburban couple whose lives are invaded and rocked by their hedonistic, secretive new neighbors, Eddy and Kay Otis.",en,https://image.tmdb.org/t/p/w500/16H9mMevZFFZfnCgsE2fVe2HH51.jpg,5.4,Alan J. Pakula,"Permut Presentations, Hollywood Pictures, Touchwood Pacific Partners 1",
A Tale of Winter,1992,"18, 10749","Felicie and Charles have a whirlwind holiday romance. Due to a mix-up on addresses they lose contact, and five years later at Christmas-time Felicie is living with her mother in a cold Paris with a daughter as a reminder of that long-ago summer. For male companionship she oscillates between hairdresser Maxence and the intellectual Loic, but seems unable to commit to either as the memory of Charles and what might have been hangs over everything.",fr,https://image.tmdb.org/t/p/w500/bbvvi3dIRRdtZ9EsMLUhYxpO5tt.jpg,7.1,Éric Rohmer,"C.E.R., Les Films du Losange, Canal+, Investimage, Sofiarp",
Cool World,1992,"16, 35, 14","A bizarre accident lands Frank Harris in Cool World, a realm of cartoons. Years later, cartoonist Jack Deebs, who's been drawing Cool World, crosses over as well. He sets his lustful sights on animated femme fatale Holli Would, but she's got plans of her own to become real, and it's up to Frank to stop her.",en,https://image.tmdb.org/t/p/w500/mqzRUHNtFwmgJCmSnvq3JnX0xgZ.jpg,5.616,Ralph Bakshi,"Paramount Pictures, Bakshi Animation",
Flight of the Innocent,1992,"18, 53, 80, 12","The boy Vito is a portrait of beauty and wide-eyed innocence spawned from a violent family of kidnapers and murderers in the South of Italy. When his entire family is murdered by a rival clan of kidnapers, Vito must flee for his own life and in the end attempts to make atonement for some of his family's sins.",it,https://image.tmdb.org/t/p/w500/fEcoQCEOYV2HM7ADrGOzIZoDW1U.jpg,6.1,Carlo Carlei,"Cristaldifilm, Fandango, Fildebroc, RAI",
Cosimas Lexikon,1992,35,,de,N/A,0,Peter Kahane,Rialto Film,
All Ladies Do It,1992,"35, 18","After five years of marriage, Diana discovers the joys of adultery, claiming that she can save her failing relationship through betrayal.",it,https://image.tmdb.org/t/p/w500/wjNq6vVBWmytEcevnSQsrWgysKA.jpg,4.927,Tinto Brass,"Faso Film, San Francisco Film",
Cousin Bobby,1992,99,"Robert Castle is the idealistic pastor of St. Mary's Episcopal Church in Harlem, and also the cousin of filmmaker Jonathan Demme. Demme's affectionate portrait of his cousin traces Castle's story, beginning with his first parish assignment, in New Jersey in the early 1960s, in an increasingly African-American-populated neighborhood rocked by violence and civil rights protests. The film raises intimate discussions of race, faith and family, while also showing Castle's daily routine as a pastor.",en,https://image.tmdb.org/t/p/w500/bPXBVy0mSV9kxM5lA4g4wGRfmA6.jpg,5.5,Jonathan Demme,Tesauro,
Coyote,1992,"35, 18",Story of a wild first love that takes place at the mouth of the St. Lawrence River between the refineries at Pointe-Au-Trembles and the rock culture of Montreal.,fr,https://image.tmdb.org/t/p/w500/n62dvrS6Y9XPUucxW7ulgVyyXWv.jpg,3.3,Richard Ciupka,,
The Crisis,1992,"35, 18","Victor is a legal advisor who finds himself abandoned by his wife and fired the same day. He tries to seek comfort from different friends and family members, but everyone he meets is concerned with their own problems. His morale begins to falter when he realizes that no one cares about him.",fr,https://image.tmdb.org/t/p/w500/lgVFR0vbfOhATeGSKSpmwE4UJ4x.jpg,6.9,Coline Serreau,"Leader Cinematografica, Les Films Alain Sarde, RAI, TF1 Films Production",
Crisis in the Kremlin,1992,,The sister-in-law of an assassin and a CIA agent team-up to save Gorbachev's life.,en,https://image.tmdb.org/t/p/w500/qwgvKUNNWKrTi8qXNtk5peVHgnd.jpg,0,Jonathan Winfrey,,
CrissCross,1992,"80, 18","Set in 1969, a twelve-year-old grows up in Key West with his mother, who is paying the bills by stripping at the local topless bar. The boy finds out about her activities and tries to convince her to stop, to no avail. A local restaurant owner hires him to collect fish from a boat out in the bay, and the boy discovers that the restaurant owner is using the fish to bring drugs in to shore. He steals one load and goes about selling it so his mother can afford to quit her job.",en,https://image.tmdb.org/t/p/w500/rTQqg56n7T2cVIjueL7zlFLxnqi.jpg,6.3,Chris Menges,"Metro-Goldwyn-Mayer, Hawn / Sylbert Movie Company, MGM-Pathé Communications",
The Black Bomber,1992,"18, 878","In a near-future Belgrade, a DJ stirs up trouble with his rocking anti-establishment broadcasts. After his station is shut down, he takes to the street and starts transmitting revolution with the police hot on his trail.",sr,https://image.tmdb.org/t/p/w500/8EX4KsWGN26k43jeH9sIBH1CrM0.jpg,6.6,Darko Bajić,"D.P. FIVET, RTS",
Cronos,1993,"18, 27, 53","Faced with his own mortality, an ingenious alchemist tried to perfect an invention that would provide him with the key to eternal life. It was called the Cronos device. When he died more than 400 years later, he took the secrets of this remarkable device to the grave with him. Now, an elderly antiques dealer has found the hellish machine hidden in a statue and learns about its incredible powers. The more he uses the device, the younger he becomes...but nothing comes without a price. Life after death is just the beginning as this nerve-shattering thriller unfolds and the fountain of youth turns bloody.",es,https://image.tmdb.org/t/p/w500/bRX8au50CnhC8hXr8AbsCNdb96G.jpg,6.7,Guillermo del Toro,CNCAIMC,
Crossing the Bridge,1992,18,"A film about three high school friends who find their happy-go-lucky existence tarnished forever the instant they get embroiled in a drug-running scheme that goes awry. When things start getting messy, they rue the day they agreed to the venture; instead of smuggling weed from Canada to Detroit, which they'd expected, the threesome's forced to traffic a huge stash of heroin.",en,https://image.tmdb.org/t/p/w500/foUGj7SQu2b5GgVlc7ADyWhZGL.jpg,5.893,Mike Binder,"Touchstone Pictures, Outlaw Productions",
Crush,1992,"18, 53","On the way to interview a novelist, Lane and Christina are involved in a car crash which leaves literary critic Christina brain-damaged. Lane undertakes the assignment and becomes attracted to the novelist's 15 year old daughter, leading to stormy emotions.",en,https://image.tmdb.org/t/p/w500/A3rge0PiYbK6ulOsT9aQpKvxa9s.jpg,5.7,Alison Maclean,"Hibiscus Films, New Zealand Film Commission, NZ on Air, Avalon/NFU Studios, Movie Partners",
The Crying Game,1992,"80, 18, 53","Irish Republican Army member Fergus forms an unexpected bond with Jody, a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude and Maguire. Jody makes Fergus promise he'll visit his girlfriend, Dil, in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",en,https://image.tmdb.org/t/p/w500/ea6HPVTlGa0MmtTrPud0UnP9wh.jpg,6.824,Neil Jordan,"Palace Pictures, Nippon Film Development and Finance Inc., Eurotrustees, British Screen Productions, Film4 Productions",
The Rapture of Deceit,1992,18,"Hungary after the changes. Jutka loses her job and even her marriage is ruined, since her husband gets involved with the daughter of an influential businessman. Jutka moves in with a female friend, Dóra likewise has to face a difficult choice.",en,https://image.tmdb.org/t/p/w500/AiYWO8X8cGpTelyQwVRLyyLA7tx.jpg,0,Lívia Gyarmathy,,
The Cutting Edge,1992,"10749, 35, 18","Two former Olympians, one a figure skater and the other a hockey player, pin their hopes of one last shot at Olympic glory on one another. That is, of course, if they can keep from killing each other in the process...",en,https://image.tmdb.org/t/p/w500/oQUsUi4zhodblac93viamfWqljG.jpg,7.205,Paul Michael Glaser,"Interscope Communications, Metro-Goldwyn-Mayer",
Cynga,1991,18,"A young Varsovian runs away from the Nazi’s attack on the East. He falls into the hands of the NKVD. Suspected of espionage, he ends up in a camp in Siberia. He will spend the war in a psychiatric hospital.",pl,https://image.tmdb.org/t/p/w500/3VjKPYk2Uz4h1vrEKF26OjIrZSI.jpg,6,Leszek Wosiewicz,,
One Step Beyond,1992,99,"This documentary is about metaphysics, physiognomy, fungshui and the unseen world. Ming Lam and Ng Kong explore the causes and origins with a number of masters in this field who explain the what about. The content includes the haunted KCR advertisement and mystery, secrets about moving into new houses and ghost inspectors, mystic experience of celebrities in the show business.",cn,https://image.tmdb.org/t/p/w500/oUDsCAygZvfq5kqojXvLMDHpt56.jpg,0,Ho Lien-Chou,,
The Big Mill,1992,,"A Communist is outraged by the structures of power in his village in China in the 1930s, during the corrupt Nationalist regime of Chiang Kai Shek.",cn,N/A,0,Wu Ziniu,,
Priest Daens,1992,"18, 36","In the 1890s, Father Adolf Daens goes to Aalst, a textile town where child labor is rife, pay and working conditions are horrible, the poor have no vote, and the Catholic church backs the petite bourgeoisie in oppressing workers. He writes a few columns for the Catholic paper, and soon workers are listening and the powerful are in an uproar. He's expelled from the Catholic party, so he starts the Christian Democrats and is elected to Parliament. After Rome disciplines him, he must choose between two callings, as priest and as champion of workers. In subplots, a courageous young woman falls in love with a socialist and survives a shop foreman's rape; children die; prelates play billiards.",nl,https://image.tmdb.org/t/p/w500/5OjbOeMuDiUgl6oRuUiwGQZakT9.jpg,7.1,Stijn Coninx,"Dérives Productions, Shooting Star Filmcompany, Favourite Films",
Dark Horse,1992,10751,14 year old Allison has to go to a horse farm. With all the horses and the help of the owner Susan Hadley she finds new sense in her life.,en,https://image.tmdb.org/t/p/w500/b7Sk8HHxN5pJ0GTuZEPi7QJYcOg.jpg,6.1,David Hemmings,Republic Pictures International,
Dark Vengeance,1993,"28, 878","Set in a distant post-apocalyptic future when the environment has been blasted into a poisoned wasteland and society has degenerated to rule by competing hordes of marauding gangs. There is one warrior, though, who fights to bring some semblance of peace and order to the land. When his family is brutally murdered, however, he becomes obsessed with seeking out their killer and taking his revenge.",fr,https://image.tmdb.org/t/p/w500/y7Jvn646ADUFfc0IEtakln4GaK9.jpg,7,Faruque Ahmed,StudioCanal,
Twin Flames,1992,,"Redheaded twins Armando and Beatriz always dreamed of being firefighters but during a rainy, uneventful winter they find themselves spending less time putting out infernos than they do helping neighbors who’ve locked themselves out of their apartments. This is how Armando meets a pretty young woman with whom he begins a tentative courtship. But soon a rift grows between the siblings and, spurred by Armando’s exaggerated stories about his nascent relationship, Beatriz begins experiencing aural hallucinations that can only be remedied through music and, finally, the love of a stranger. Pinto made this impassioned fairy tale as part of a series of films about the four elements. - FilmLinc",pt,https://image.tmdb.org/t/p/w500/wx3zgFUZGe4bJgi2feCQqCuUA2O.jpg,6,Joaquim Pinto,,
Dead Boyz Can't Fly,1992,,"Buzz shows his artwork to Norman at the employment agency. Norman laughs in his face. Buzz takes this personally and later returns to the office building with his friends Goose and Jo Jo. They systematically terrorize the people in different offices on the 13th floor, with only a few grizzled Vietnam veterans and a suicidal lawyer to try and stop them.",en,https://image.tmdb.org/t/p/w500/oV4qb5LEnFsMWLyZQ8eoq3Fcjta.jpg,2.5,Cecil Howard,,
Dead Flowers,1992,"18, 53","Alex (Thierry Van Werveke), a pest exterminator who lives with his grandmother, picks up a stranded woman (Kate Valk) who claims to be the American daughter of a spy.",de,https://image.tmdb.org/t/p/w500/u0VY948tzB9A5YY0WivMMUT1Y2x.jpg,0,Peter Ily Huemer,Wega Film,
Deadly Bet,1992,28,Jeff Wincott plays a gambler who puts his life on the line to buy his way out of the clutches of a mobster.,en,https://image.tmdb.org/t/p/w500/33mDwaWiFp4YVtUfVWLRM3AatjD.jpg,6.1,Richard W. Munchkin,PM Entertainment Group,
Death Becomes Her,1992,"35, 14, 27","Madeline is married to Ernest, who was once arch-rival Helen's fiance. After recovering from a mental breakdown, Helen vows to kill Madeline and steal back Ernest. Unfortunately for everyone, the introduction of a magic potion causes things to be a great deal more complicated than a mere murder plot.",en,https://image.tmdb.org/t/p/w500/kkWxyyyWFK5KNk9WVwQuGEC9H9H.jpg,6.8,Robert Zemeckis,Universal Pictures,
Deedar,1992,,"Anand Malhotra, the only son of a very wealthy industrialist, Kailanshnath Malhotra is in love with the only daughter of a widowed schoolteacher, Gayetri Saxena, whose name is Sapna Saxena. His mom and dad find out about his romance, and decide to get him married to her. On the day of the engagement, Gayetri and Sapna lock their door and spend the week elsewhere. Kailashnath and his wife are outraged by this humiliation and swear never to marry their son to Sapna. Anand is perplexed at this, and attempts to find from Gayetri, as to her refusal, but Gayetri refuses to tell him anything. Anand knows that Sapna loves him, and is determined to find out why their marriage is not possible. Little does he know that by doing so, he could be challenging Gayetri's widowhood, as well as putting his dad and his business in jeopardy.",hi,https://image.tmdb.org/t/p/w500/AqoebimNASvlpwqzAzc3KB7kx8G.jpg,7,Pramod Chakravorty,,
Deep Cover,1992,"28, 53, 80","Black police officer Russell Stevens applies for a special anti-drug squad which targets the highest boss of cocaine delivery to LA—the Colombian foreign minister's nephew. Russell works his way up from the bottom undercover, until he reaches the boss.",en,https://image.tmdb.org/t/p/w500/etr2mCm7gMufAJkSLuB23XocDtd.jpg,6.7,Bill Duke,"Image Organization, New Line Cinema",
Delivered Vacant,1992,,"This award-winning documentary chronicles 8 years of housing wars in Hoboken, NJ, a mile-square city across the river from Manhattan. It features a real life cast of long time residents, newly arrived yuppies, tenant organizers, real estate developers, immigrants from around the world and the wackiest mayor in America.",en,https://image.tmdb.org/t/p/w500/iTzUy8tu2aeGOJzHWSHsXLO36Iz.jpg,0,Nora Jacobson,,
Delta Heat,1992,"18, 28",An L.A. cop investigates the death of his partner in the swamps of Louisiana. Enlisting the help of an ex-cop who lost his hand to an alligator many years before.,en,https://image.tmdb.org/t/p/w500/uA8MlVEPStZrMBz0P6xFKqTi6H2.jpg,4.5,Michael Fischa,"Sawmill Entertainment Corporation, Harkham Productions",
Too Much Heart,1992,"53, 18",Two twin sisters fall in love for the same man.,es,https://image.tmdb.org/t/p/w500/lJN8nTZKuVzZ5RIFd21ixNR9AGB.jpg,4.3,Eduardo Campoy,,
The Democratic Terrorist,1992,"53, 28","The West German security police, Verfassungsschutz, need help to infiltrate a group connected to the Rote Arme Fraktion. The Swedish James Bond, Carl Hamilton, goes to Hamburg, pretending to be a Swedish officer, thrown out of the country after having been exposed as an East German spy. He gets in contact with the terrorists and joins them. Together they are planning to strike against the CIA headquarters in Stockholm.",sv,https://image.tmdb.org/t/p/w500/vd0PtbWhbTC7i2kob9v5tq7AN58.jpg,6.6,Per Berglund,"Multimedia Gesellschaft für Audiovisuelle Information mbH, Sonet Film, SF Studios, FilmTeknik, TV4, ZDF, Film Fonds, Sonet Studios AB, Sonet Produktion AB, Sonet Filmfinans KB",
Desert Kickboxer,1992,"18, 37, 28","A kickboxing cop abandons the violent life after he accidentally kills his opponent during a match. After quitting, he heads for the Arizona desert to live alone and occasionally work tracking drug runners for the area sheriff. One particularly wily Mexican drug lord, Santos, has been a real thorn in tracker Joe Highhawk's side, so when he encounters the beautiful Claudia and her simpleton brother Anthony running for their lives because she, an accountant, embezzled $20 million from Santos, he decides to help them. This actioner follows what happens next. Along the way, they encounter all sorts of danger, and double cross until the exciting final standoff between the kickboxer and the villain.",en,https://image.tmdb.org/t/p/w500/lhTFpwp18qeCktHGhKFfSszkCuL.jpg,3.7,Isaac Florentine,"Wells Company, 21st Century Film Corporation",
After the Dream,1992,18,"Amós is a sailor and owner of a ship. He is impatient with the arrival of his uncle who returns from the Soviet Union, after having exiled there after the Civil War. They have no time to meet because the old man unexpectedly dies. Amos knows, thanks to the letters his mother received, that his uncle had a treasure. However, this one is not among the objects that were in the old man's room.",es,https://image.tmdb.org/t/p/w500/bpqgKjZK8lJIFetAOvRxKpglk5j.jpg,5,Mario Camus,"Antea Films, Generalitat Valenciana, I.d.e.a., Ministerio de Cultura, Sogetel",
Detonator,1992,"878, 28, 35","A strange object falls to the ground from space. His fall is accompanied by a strong explosion, which creates chaos on Earth. KGB officer Rem Bezymyanny, the owner of a perfect physical and universal mental nature, intervenes in the case, who is transplanted with a device of extraterrestrial origin to the most incredible places in space and time. After wandering around the worlds, the superhero safely returns to his homeland in the 90s.",ru,https://image.tmdb.org/t/p/w500/y4va3yI88sTU40n5sdZHERpt67s.jpg,0,Alexandr Klimenko,Russian Cinema,
Detour,1992,80,A nightclub piano player (Tom Neal Jr.) hitchhikes to the West Coast and soon figures into two deaths.,en,https://image.tmdb.org/t/p/w500/yUlo3qBNHz4jbIr2u5YyaHlZIJf.jpg,5,Wade Williams,,
Deuce Coupe,1992,"18, 10749",Two brothers are seperated by the love for the same woman - but they get united again by their fascination for speed and racing cars.,en,https://image.tmdb.org/t/p/w500/2I0Gl47fpKKt0j7Q7L2d6tg8kJ8.jpg,0,Mark Deimel,,
Deutschfieber,1992,"18, 35",,de,N/A,2,Niklaus Schilling,"DEFA, ZDF",
Dharavi,1991,"18, 80","The film follows a scrappy taxi driver's fortunes as he tries to break out from the clutches of poverty, devising plans and investing all his money in a dubious schemes which eventually blow out on him, coming under the eye of unscrupulous politician and local goons, yet he still perseveres for his dreams.",hi,https://image.tmdb.org/t/p/w500/5iEngeLhcEW7K3Ms2kCWK9HyfXq.jpg,6.3,Sudhir Mishra,"National Film Development Corporation of India, Doordarshan",
Day of Despair,1992,18,Portrait of the last days of the life of Portuguese writer Camilo Castelo Branco.,pt,https://image.tmdb.org/t/p/w500/nm2AUx8nzNKnL7HqI7DpoEE69rh.jpg,6.2,Manoel de Oliveira,"Madragoa Filmes, Gemini Films, RTP, Instituto Português de Cinema (IPC), CNC",
Diên Biên Phu,1992,"18, 10752","Vietnam, 1954. An American reporter finds himself in the middle of the battle of Điện Biên Phủ, between the French army and the Vietminh.",fr,https://image.tmdb.org/t/p/w500/snqmAzSevLzf8hip90clpdIvVip.jpg,6.4,Pierre Schoendoerffer,"Mod films, France 2 Cinéma, Productions Marcel Dassault, Flach Film",
Digeh Che Khabar!?,1992,"35, 878, 14",The film is about an imaginative and lively student who transforms her immediate family and surroundings when she talks herself into writing a novel.,fa,https://image.tmdb.org/t/p/w500/fPcVpruGsXBnt9rPxVIhVbFmqJn.jpg,7.5,Tahmine Milani,,
Diggstown,1992,"35, 18","Gabriel Caine has just been released from prison when he sets up a bet with a business man who owns most of Diggstown, a boxing-mad town. The bet is that Gabe can find a boxer that will knock out 10 Diggstown men, in a boxing ring, within 24 hours. Roy 'Honey' Palmer is that man that, at 48, many say he is too old.",en,https://image.tmdb.org/t/p/w500/rJ0VsONJzyctlYX8W2rL8TQ4wD9.jpg,6.3,Michael Ritchie,Metro-Goldwyn-Mayer,
Acla's Descent into Floristella,1992,18,"Set in Sicily in the 1930's, Aurelio Grimaldi's feature debut chronicles the harsh story of twelve-year-old boy, Aclà, sold into slavery by his destitute parents to work in the underground Floristella sulfur mines. Overworked and underfed, Aclà toils from Monday to Saturday in the steamy, candle-lit labyrinths. Repeatedly beaten and abused by his ""owner"" and with constant threats of being raped, Aclà plots his escape to the sea...",it,https://image.tmdb.org/t/p/w500/14ghZtQCuZJ11u8c4O3B0AcznlG.jpg,7,Aurelio Grimaldi,"Penta Film, Cineuropa 92, Nova Films",
Distant Justice,1992,28,"After his daughter is kidnapped and his wife murdered by drug dealers, a man finds that the gang is protected by corrupt politicians, and sets out to wipe out the gang and expose the politicians.",en,https://image.tmdb.org/t/p/w500/oS4ZXNCa0c8Zcu5NW70PXX9VTBS.jpg,5,Tōru Murakawa,"Sun Stripe, Toei Video Company",
Die Distel,1992,10751,"Since her parents death, hobby-detective Trudi lives with her young aunt Julia. When a nearby Turkish restaurant is smashed one night, everybody assumes by default an act of racism. Trudi however did notice a strange guest named Mangold there the day before. Also the caretaker seems very keen on getting the restaurant out of the building. The police and host Kemal don't seem particularly interested in investigating the event, so Trudi starts her own investigations in the style of Sherlock Holmes, with the help of her friend Tom and runaway Rollo.",de,https://image.tmdb.org/t/p/w500/oiWh2ezjw3raGllVJq3oB3kp7dp.jpg,0,Gernot Krää,,
The Distinguished Gentleman,1992,35,"A Florida con man uses the passing of the long time Congressman from his district, who he just happens to share a name with, to get elected to his version of paradise- Congress, where the money flows from lobbyists.",en,https://image.tmdb.org/t/p/w500/ny722xPMhsY6JlRmQQjLZs7JP0S.jpg,6.035,Jonathan Lynn,"Hollywood Pictures, Touchwood Pacific Partners 1",
Doctor Mordrid,1992,"14, 28, 53, 878, 27","Bound by hate and a mystical amulet that holds the powers of life and death, two immortal wizards meet for the last time in an ancient struggle of good versus evil.",en,https://image.tmdb.org/t/p/w500/t6sjIJqa3ZwKxnh880ODuOCw12s.jpg,5.3,Albert Band,Full Moon Entertainment,
Don Gio,1992,"10402, 27","The full-length film which, though based on Mozart's opera Don Giovanni, is more about the complexity of the time and the world. We witness the creation of a modern production of Don Giovanni, reflecting the controversial present. Mozart's exciting music, uninhibited erotic, and the eternal struggle against evil which constitutes the energy of our existence.",cs,https://image.tmdb.org/t/p/w500/eVvhAIVeXIcSIBG1t8zNnzOyiBz.jpg,5,Michal Caban,"Česká televize, Filmové studio Barrandov, Česká pojišťovna",
Don Quixote,1992,"18, 14, 12","Don Quixote, accompanied by Sancho Panza, wander the roads of Spain protecting the weak and doing good deeds in the name of his beloved Dulcinea.",en,https://image.tmdb.org/t/p/w500/ot8NgOyV53lTJ2Qp5wumCJdDq5S.jpg,6.111,Orson Welles,El Silencio Producciones,
Donusa,1992,18,"Donusa is a small island in the Aegean, visited by the mainline ship once a week. One winter day a young German photographer, Stefan, arrives and soon feels strangely attracted to a local girl called Eleni. The stranger’s presence works as a catalyst shedding light on Donusa’s conventions.",el,https://image.tmdb.org/t/p/w500/fXD6xJz7DNiIp1NLhnTTkxj7Fv5.jpg,0,Angeliki Antoniou,"Greek Film Centre, Flash Film, Kyros-Film, WDR, Von Vietinghoff Filmproduktion (VVF), Elliniko Kentro Kinimatographou",
The Silent Touch,1992,18,"Henry Kesdi is a silenced classical composer and a survivor of the Holocaust. He is coaxed out from retirement by an inspired musicologist, Stefan, who convinces him to compose a complex symphony on his neglected piano. As a help Kesdi gets his new musical secretary. His loyal wife reluctantly accepts her as his young lover.",en,https://image.tmdb.org/t/p/w500/aZJ7OWRN3Mg5CjmctHBMth0hMbP.jpg,5,Krzysztof Zanussi,"Mark Forstater Productions, Studio Filmowe Tor",
Double Edge,1992,"53, 18","Upon arriving Israel on her first foreign assignment, American photojournalist Faye Milano is greeted by David, an Israeli officer and writer who's also the nephew of Jerusalem's mayor",he,https://image.tmdb.org/t/p/w500/jf4gZgHCEGgNuzV36loaxe6KdHe.jpg,5,Amos Kollek,Castle Hill Productions,
Double Threat,1992,"53, 9648","A former movie star, Monica Scott, returns to the big screen along with younger boyfriend, Eric Cline, after a long absence. Monica is very jealous of the attention Eric gives to her body double - Lisa. The plot becomes difficult to follow as it changes between real life and the movie they are making. The jealousy inevitably leads to murder attempts and denials",en,https://image.tmdb.org/t/p/w500/kqvFCq4PsfSAyKISg76kmYUUgK3.jpg,3.6,David A. Prior,"Action International Pictures, Sovereign Investments, One For The Money Productions",
